34 8
21.0  34.0  48.0  5.0  51.0  28.0  39.0  0
22.0  43.0  48.0  5.0  48.0  16.0  28.0  0
4.0  29.0  48.0  5.0  42.0  35.0  44.0  0
65.0  47.0  48.0  5.0  59.0  3.0  4.0  0
28.0  38.0  48.0  5.0  5.0  33.0  42.0  0
44.0  56.0  48.0  5.0  5.0  46.0  54.0  0
25.0  37.0  48.0  5.0  43.0  26.0  36.0  0
5.0  49.0  48.0  5.0  49.0  46.0  53.0  0
3.0  45.0  48.0  5.0  36.0  21.0  32.0  0
38.0  4.0  48.0  5.0  63.0  25.0  35.0  0
47.0  28.0  48.0  5.0  56.0  2.0  25.0  0
38.0  44.0  48.0  5.0  43.0  2.0  31.0  0
41.0  51.0  48.0  5.0  58.0  2.0  31.0  0
37.0  44.0  48.0  5.0  42.0  39.0  47.0  0
16.0  43.0  48.0  5.0  54.0  27.0  37.0  0
23.0  48.0  48.0  5.0  59.0  88.0  89.0  1
12.0  67.0  48.0  5.0  74.0  58.0  63.0  1
48.0  41.0  48.0  5.0  51.0  9.0  88.0  1
49.0  42.0  48.0  5.0  53.0  79.0  81.0  1
33.0  37.0  48.0  5.0  46.0  65.0  69.0  1
41.0  51.0  48.0  5.0  53.0  75.0  78.0  1
31.0  36.0  48.0  5.0  58.0  94.0  94.0  1
63.0  49.0  48.0  5.0  54.0  76.0  79.0  2
69.0  43.0  48.0  5.0  59.0  74.0  77.0  4
47.0  46.0  48.0  5.0  62.0  74.0  77.0  4
64.0  45.0  48.0  5.0  67.0  61.0  66.0  4
61.0  75.0  48.0  5.0  51.0  33.0  33.0  5
64.0  57.0  48.0  5.0  7.0  33.0  26.0  5
77.0  57.0  1.0  5.0  37.0  54.0  1.0  6
7.0  61.0  48.0  5.0  56.0  52.0  43.0  7
65.0  57.0  48.0  5.0  47.0  47.0  51.0  7
66.0  74.0  48.0  5.0  31.0  38.0  43.0  7
69.0  67.0  48.0  5.0  3.0  39.0  24.0  7
69.0  66.0  48.0  5.0  41.0  5.0  25.0  7
